image_id,identity
3,SalamanderID2025_633
5,SalamanderID2025_137
12,new_individual
13,new_individual
18,SeaTurtleID2022_t306
19,new_individual
27,SalamanderID2025_39
33,new_individual
36,new_individual
45,LynxID2025_lynx_95
46,new_individual
47,SalamanderID2025_67
48,SalamanderID2025_191
49,SalamanderID2025_119
55,new_individual
58,SeaTurtleID2022_t331
61,LynxID2025_lynx_43
62,new_individual
63,new_individual
64,SeaTurtleID2022_t048
65,SeaTurtleID2022_t044
67,SeaTurtleID2022_t044
68,SeaTurtleID2022_t321
74,new_individual
81,LynxID2025_lynx_43
84,SalamanderID2025_39
85,LynxID2025_lynx_72
86,new_individual
89,LynxID2025_lynx_72
90,LynxID2025_lynx_42
94,SeaTurtleID2022_t104
97,LynxID2025_lynx_43
98,new_individual
106,new_individual
113,SalamanderID2025_137
123,SeaTurtleID2022_t001
124,new_individual
126,new_individual
131,SalamanderID2025_500
137,new_individual
139,SalamanderID2025_474
145,new_individual
150,SalamanderID2025_39
163,SalamanderID2025_119
166,SeaTurtleID2022_t020
167,SeaTurtleID2022_t044
168,new_individual
171,new_individual
173,SalamanderID2025_480
182,SalamanderID2025_446
183,new_individual
186,new_individual
188,new_individual
190,new_individual
192,SalamanderID2025_517
195,new_individual
202,new_individual
203,SeaTurtleID2022_t048
205,SalamanderID2025_261
209,new_individual
210,SeaTurtleID2022_t407
213,new_individual
216,LynxID2025_lynx_57
219,new_individual
221,LynxID2025_lynx_36
228,new_individual
231,SalamanderID2025_500
240,SeaTurtleID2022_t048
242,SeaTurtleID2022_t241
245,SalamanderID2025_119
264,new_individual
266,SeaTurtleID2022_t037
273,SeaTurtleID2022_t110
276,SalamanderID2025_39
280,SalamanderID2025_633
282,new_individual
286,SeaTurtleID2022_t048
289,SeaTurtleID2022_t048
293,new_individual
294,SeaTurtleID2022_t148
296,SeaTurtleID2022_t148
311,SalamanderID2025_500
312,new_individual
315,new_individual
338,SeaTurtleID2022_t048
347,SalamanderID2025_67
357,SeaTurtleID2022_t048
359,new_individual
361,new_individual
366,LynxID2025_lynx_42
368,new_individual
373,SalamanderID2025_599
375,new_individual
378,new_individual
380,SalamanderID2025_290
397,new_individual
411,SeaTurtleID2022_t497
415,LynxID2025_lynx_13
422,new_individual
423,SeaTurtleID2022_t148
424,SalamanderID2025_429
427,SeaTurtleID2022_t048
429,SeaTurtleID2022_t048
431,LynxID2025_lynx_43
432,new_individual
437,SeaTurtleID2022_t044
439,SeaTurtleID2022_t148
443,LynxID2025_lynx_72
454,new_individual
459,new_individual
465,LynxID2025_lynx_72
469,SalamanderID2025_137
470,SeaTurtleID2022_t067
474,SalamanderID2025_327
475,new_individual
478,SalamanderID2025_454
479,SeaTurtleID2022_t296
480,new_individual
481,new_individual
482,SeaTurtleID2022_t079
491,SalamanderID2025_137
494,SeaTurtleID2022_t044
500,SalamanderID2025_513
501,SalamanderID2025_137
507,new_individual
509,SalamanderID2025_119
512,SeaTurtleID2022_t048
515,LynxID2025_lynx_72
516,SeaTurtleID2022_t382
519,new_individual
520,SeaTurtleID2022_t048
522,SeaTurtleID2022_t048
524,SeaTurtleID2022_t497
526,new_individual
530,SalamanderID2025_543
537,new_individual
544,SalamanderID2025_500
547,new_individual
549,LynxID2025_lynx_95
551,LynxID2025_lynx_72
552,LynxID2025_lynx_43
555,SeaTurtleID2022_t028
559,SeaTurtleID2022_t048
562,new_individual
565,SeaTurtleID2022_t048
567,SeaTurtleID2022_t044
569,SeaTurtleID2022_t610
570,LynxID2025_lynx_43
573,new_individual
577,new_individual
578,SeaTurtleID2022_t379
579,SeaTurtleID2022_t044
580,new_individual
583,LynxID2025_lynx_43
584,LynxID2025_lynx_72
588,SeaTurtleID2022_t048
589,SalamanderID2025_39
591,SalamanderID2025_475
592,SeaTurtleID2022_t148
594,SalamanderID2025_119
595,new_individual
599,SeaTurtleID2022_t042
602,SalamanderID2025_446
603,SalamanderID2025_39
611,SeaTurtleID2022_t317
620,SalamanderID2025_87
625,new_individual
626,SalamanderID2025_24
628,SalamanderID2025_67
630,new_individual
636,SeaTurtleID2022_t148
643,new_individual
645,new_individual
648,SeaTurtleID2022_t048
649,SeaTurtleID2022_t264
651,SalamanderID2025_599
655,SeaTurtleID2022_t104
656,new_individual
662,SalamanderID2025_500
669,SeaTurtleID2022_t317
670,SeaTurtleID2022_t610
672,SeaTurtleID2022_t610
