,image_id,identity
0,3,new_individual
1,5,new_individual
2,12,new_individual
3,13,LynxID2025_lynx_05
4,18,new_individual
5,19,new_individual
6,27,new_individual
7,33,LynxID2025_lynx_87
8,36,LynxID2025_lynx_54
9,45,new_individual
10,46,LynxID2025_lynx_28
11,47,new_individual
12,48,LynxID2025_lynx_32
13,49,new_individual
14,55,new_individual
15,58,new_individual
16,61,new_individual
17,62,new_individual
18,63,new_individual
19,64,new_individual
20,65,new_individual
21,67,new_individual
22,68,LynxID2025_lynx_62
23,74,new_individual
24,81,new_individual
25,84,LynxID2025_lynx_54
26,85,new_individual
27,86,LynxID2025_lynx_62
28,89,new_individual
29,90,new_individual
30,94,new_individual
31,97,new_individual
32,98,new_individual
33,106,new_individual
34,113,new_individual
35,123,new_individual
36,124,new_individual
37,126,new_individual
38,131,new_individual
39,137,new_individual
40,139,LynxID2025_lynx_28
41,145,new_individual
42,150,LynxID2025_lynx_50
43,163,LynxID2025_lynx_62
44,166,LynxID2025_lynx_38
45,167,LynxID2025_lynx_62
46,168,LynxID2025_lynx_98
47,171,LynxID2025_lynx_16
48,173,LynxID2025_lynx_32
49,182,new_individual
50,183,new_individual
51,186,new_individual
52,188,new_individual
53,190,new_individual
54,192,new_individual
55,195,new_individual
56,202,new_individual
57,203,new_individual
58,205,LynxID2025_lynx_31
59,209,new_individual
60,210,new_individual
61,213,new_individual
62,216,new_individual
63,219,LynxID2025_lynx_62
64,221,new_individual
65,228,new_individual
66,231,LynxID2025_lynx_62
67,240,new_individual
68,242,new_individual
69,245,new_individual
70,264,new_individual
71,266,new_individual
72,273,new_individual
73,276,LynxID2025_lynx_86
74,280,LynxID2025_lynx_13
75,282,new_individual
76,286,new_individual
77,289,new_individual
78,293,LynxID2025_lynx_40
79,294,LynxID2025_lynx_45
80,296,LynxID2025_lynx_50
81,311,new_individual
82,312,LynxID2025_lynx_36
83,315,LynxID2025_lynx_25
84,338,new_individual
85,347,new_individual
86,357,new_individual
87,359,LynxID2025_lynx_97
88,361,new_individual
89,366,new_individual
90,368,new_individual
91,373,new_individual
92,375,new_individual
93,378,new_individual
94,380,new_individual
95,397,LynxID2025_lynx_74
96,411,LynxID2025_lynx_28
97,415,new_individual
98,422,LynxID2025_lynx_36
99,423,LynxID2025_lynx_32
100,424,new_individual
101,427,new_individual
102,429,new_individual
103,431,LynxID2025_lynx_62
104,432,new_individual
105,437,new_individual
106,439,new_individual
107,443,new_individual
108,454,new_individual
109,459,new_individual
110,465,LynxID2025_lynx_74
111,469,new_individual
112,470,new_individual
113,474,new_individual
114,475,new_individual
115,478,new_individual
116,479,new_individual
117,480,new_individual
118,481,new_individual
119,482,new_individual
120,491,new_individual
121,494,new_individual
122,500,LynxID2025_lynx_87
123,501,new_individual
124,507,LynxID2025_lynx_28
125,509,new_individual
126,512,new_individual
127,515,new_individual
128,516,new_individual
129,519,new_individual
130,520,LynxID2025_lynx_49
131,522,new_individual
132,524,new_individual
133,526,LynxID2025_lynx_35
134,530,new_individual
135,537,new_individual
136,544,new_individual
137,547,LynxID2025_lynx_05
138,549,new_individual
139,551,new_individual
140,552,LynxID2025_lynx_43
141,555,new_individual
142,559,new_individual
143,562,LynxID2025_lynx_05
144,565,LynxID2025_lynx_32
145,567,new_individual
146,569,new_individual
147,570,new_individual
148,573,new_individual
149,577,new_individual
150,578,LynxID2025_lynx_40
151,579,new_individual
152,580,new_individual
153,583,new_individual
154,584,new_individual
155,588,new_individual
156,589,new_individual
157,591,new_individual
158,592,new_individual
159,594,LynxID2025_lynx_65
160,595,new_individual
161,599,new_individual
162,602,new_individual
163,603,LynxID2025_lynx_46
164,611,LynxID2025_lynx_46
165,620,new_individual
166,625,new_individual
167,626,new_individual
168,628,new_individual
169,630,LynxID2025_lynx_28
170,636,LynxID2025_lynx_49
171,643,new_individual
172,645,new_individual
173,648,new_individual
174,649,LynxID2025_lynx_95
175,651,new_individual
176,655,new_individual
177,656,new_individual
178,662,new_individual
179,669,new_individual
180,670,LynxID2025_lynx_32
181,672,new_individual
182,673,new_individual
183,676,new_individual
184,678,new_individual
185,683,new_individual
186,685,LynxID2025_lynx_32
187,690,LynxID2025_lynx_25
188,694,new_individual
189,699,new_individual
190,704,LynxID2025_lynx_60
191,707,LynxID2025_lynx_86
192,711,LynxID2025_lynx_05
193,712,new_individual
194,713,LynxID2025_lynx_32
195,715,new_individual
196,719,LynxID2025_lynx_09
197,722,LynxID2025_lynx_25
198,724,new_individual
199,726,new_individual
200,730,new_individual
201,734,new_individual
202,735,new_individual
203,738,new_individual
204,739,new_individual
205,741,new_individual
206,749,new_individual
207,750,new_individual
208,751,new_individual
209,753,LynxID2025_lynx_50
210,760,new_individual
211,761,new_individual
212,764,new_individual
213,766,new_individual
214,770,new_individual
215,776,new_individual
216,781,new_individual
217,782,new_individual
218,784,new_individual
219,786,new_individual
220,787,new_individual
221,790,LynxID2025_lynx_62
222,791,new_individual
223,793,new_individual
224,794,LynxID2025_lynx_32
225,795,new_individual
226,797,LynxID2025_lynx_95
227,798,LynxID2025_lynx_43
228,800,new_individual
229,804,new_individual
230,808,LynxID2025_lynx_43
231,817,new_individual
232,819,new_individual
233,824,new_individual
234,840,new_individual
235,849,LynxID2025_lynx_95
236,855,new_individual
237,859,new_individual
238,865,new_individual
239,871,new_individual
240,872,LynxID2025_lynx_05
241,874,new_individual
242,881,new_individual
243,886,new_individual
244,887,LynxID2025_lynx_95
245,893,new_individual
246,897,new_individual
247,904,LynxID2025_lynx_62
248,907,new_individual
249,915,new_individual
250,917,new_individual
251,920,new_individual
252,939,LynxID2025_lynx_49
253,941,LynxID2025_lynx_05
254,945,new_individual
255,951,new_individual
256,962,new_individual
257,963,new_individual
258,964,new_individual
259,969,LynxID2025_lynx_62
260,980,LynxID2025_lynx_62
261,983,new_individual
262,985,new_individual
263,990,LynxID2025_lynx_49
264,991,new_individual
265,992,LynxID2025_lynx_29
266,994,new_individual
267,995,new_individual
268,1000,new_individual
269,1001,LynxID2025_lynx_14
270,1005,new_individual
271,1006,new_individual
